"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.04775942542483e-60,1.15529487432556,0.447,0.142,7.22970310975129e-56,"7","DHX15"
4.13432547124931e-60,1.0604677251761,0.392,0.113,7.38431872419839e-56,"7","CISD2"
4.54702042140815e-60,2.04915108743037,0.632,0.353,8.1214331746771e-56,"7","NPM1"
5.97833353648943e-60,1.29784066201343,0.328,0.085,1.06779015295238e-55,"7","MPHOSPH10"
6.01774486662281e-60,1.55557046445337,0.468,0.162,1.0748294106275e-55,"7","REXO2"
6.93788509669648e-60,1.45185246785778,0.333,0.088,1.23917565712096e-55,"7","SMARCD2"
8.70967580931221e-60,1.51294023096102,0.468,0.166,1.55563519630125e-55,"7","DARS"
1.05629092586239e-59,1.23863925854361,0.363,0.103,1.88664122268281e-55,"7","PSMD3"
1.09645863894785e-59,1.03228137649868,0.252,0.054,1.95838477502476e-55,"7","NELFA"
1.17131155008324e-59,1.17760197274172,0.261,0.057,2.09207955960367e-55,"7","TOMM34"
1.20535497245186e-59,1.15629152747985,0.257,0.056,2.15288451629627e-55,"7","NUBP1"
1.3868787603769e-59,1.17063236518947,0.257,0.056,2.47710415390918e-55,"7","PSMD5"
1.91688069943969e-59,1.40777494304884,0.295,0.072,3.42374061726922e-55,"7","XPNPEP1"
2.0634514625451e-59,1.1017072337633,0.361,0.1,3.6855306572518e-55,"7","SRRT"
2.3949735042196e-59,1.04955889024731,0.401,0.12,4.27766217588663e-55,"7","SYNCRIP"
2.74395287799813e-59,0.988414062168214,0.306,0.075,4.90097423539246e-55,"7","MRPL10"
2.9718736369689e-59,1.08359107234245,0.442,0.141,5.30806350299014e-55,"7","HDAC2"
3.48944974981751e-59,1.31363892263975,0.359,0.101,6.23250619814906e-55,"7","DHX9"
4.71206105749138e-59,1.05798330085672,0.33,0.087,8.41621225478535e-55,"7","NANS"
5.16310111425015e-59,1.15117499740695,0.394,0.117,9.2218149001622e-55,"7","GARS"
5.46952821871711e-59,1.16299943965043,0.366,0.102,9.76912435145062e-55,"7","EMC2"
5.64171992131256e-59,1.27178771573244,0.523,0.192,1.00766759514564e-54,"7","PDCD5"
5.85270096837597e-59,0.885383414199644,0.273,0.062,1.04535091996163e-54,"7","NBEAL1"
7.33205794855621e-59,1.28844138526568,0.392,0.117,1.30957887019162e-54,"7","PRELID3B"
7.39201501383626e-59,1.60162955993852,0.456,0.158,1.3202878016213e-54,"7","LTA4H"
7.41776016180834e-59,1.39738438481512,0.544,0.219,1.32488614250059e-54,"7","POLR1D"
7.82564968892821e-59,1.03902989936778,0.499,0.174,1.39773929093947e-54,"7","TAF9"
9.40186017684032e-59,1.03945533570042,0.264,0.059,1.67926624618545e-54,"7","RAD50"
1.02448596858096e-58,0.820014049610069,0.333,0.087,1.82983438848246e-54,"7","COPS7A"
1.81702645549077e-58,1.28645641045183,0.468,0.155,3.24539095215206e-54,"7","GLRX5"
1.98562922968211e-58,1.00741707805867,0.822,0.486,3.54653236713521e-54,"7","HMGN2"
2.14497574473359e-58,0.865492764420839,0.314,0.079,3.83114117766866e-54,"7","COPG1"
2.18619710316173e-58,0.754158128194583,0.373,0.106,3.90476664595717e-54,"7","TRMT5"
3.55019447777345e-58,1.0730352669463,0.42,0.131,6.34100235675117e-54,"7","UCHL3"
3.62002054316288e-58,0.99218502746521,0.344,0.093,6.46571869214323e-54,"7","PLAA"
4.78012131637842e-58,1.27395060650532,0.302,0.075,8.53777468318349e-54,"7","FAF1"
6.75626070805121e-58,1.02700174333142,0.285,0.068,1.20673572506503e-53,"7","ITPA"
7.57982645732323e-58,1.17156698978835,0.371,0.107,1.3538328035425e-53,"7","YIF1B"
7.6140618573778e-58,0.441891181976313,0.261,0.058,1.35994758834625e-53,"7","GNPAT"
8.29187714993216e-58,1.39966139850927,0.496,0.181,1.48101217774938e-53,"7","EIF3A"
8.57365774494094e-58,0.910838909960326,0.297,0.073,1.5313410098239e-53,"7","TMEM242"
1.18479853781582e-57,1.25013809980276,0.76,0.53,2.11616866839284e-53,"7","HNRNPA2B1"
1.22876096934909e-57,1.00896000569927,0.375,0.108,2.19468996735441e-53,"7","DCPS"
1.66653061641651e-57,0.971298599168973,0.266,0.06,2.97659033398153e-53,"7","TCTEX1D2"
3.16366277893662e-57,0.862674464260464,0.268,0.061,5.6506180894587e-53,"7","THAP7"
3.22516581065714e-57,1.22373905647698,0.299,0.075,5.76046865441471e-53,"7","NUDCD3"
4.3766841395628e-57,1.01846183944214,0.399,0.12,7.81719554167312e-53,"7","SHMT2"
4.57993823337524e-57,1.29993771241997,0.437,0.143,8.18022767863151e-53,"7","ANP32E"
6.4351911844634e-57,1.05295681311043,0.675,0.299,1.14938949745701e-52,"7","STMN1"
7.07530131411104e-57,1.02537001047365,0.382,0.111,1.26371956771337e-52,"7","WBP11"
7.34212799474534e-57,1.09127879037167,0.33,0.088,1.31137748114147e-52,"7","SUCLA2"
9.31423947714893e-57,1.07122347315848,0.28,0.068,1.66361631301357e-52,"7","BET1"
1.05375840803819e-56,0.941140481117677,0.848,0.508,1.88211789259702e-52,"7","SEM1"
1.14789168717213e-56,0.834266078240092,0.264,0.06,2.05024934245815e-52,"7","C6orf226"
